epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,62.1511,1.32983,5.36554,0.02012,0,0,0,0,2.70947,6.1777,0.02638,1.83646e-05,1.83646e-05,1.83646e-05
84,62.7881,1.20318,5.43939,0.02056,0,0,0,0,2.69397,6.17742,0.02594,1.76107e-05,1.76107e-05,1.76107e-05
85,63.3364,1.75088,5.4714,0.02401,0,0,0,0,2.69397,6.17742,0.02594,1.68333e-05,1.68333e-05,1.68333e-05
86,63.9332,1.5696,5.52461,0.03008,0,0,0,0,2.69397,6.17742,0.02594,1.60323e-05,1.60323e-05,1.60323e-05
87,64.5248,1.44978,5.30457,0.01906,0,0,0,0,2.69397,6.17742,0.02594,1.52077e-05,1.52077e-05,1.52077e-05
88,65.1688,1.73958,5.34835,0.0262,0,0,0,0,2.64751,6.16505,0.02497,1.43596e-05,1.43596e-05,1.43596e-05
89,65.7356,1.56206,5.53914,0.02511,0,0,0,0,2.64751,6.16505,0.02497,1.34879e-05,1.34879e-05,1.34879e-05
90,66.3107,1.43498,5.54132,0.01743,0,0,0,0,2.64751,6.16505,0.02497,1.25927e-05,1.25927e-05,1.25927e-05
91,66.8786,1.31917,5.78714,0.02497,0,0,0,0,2.64751,6.16505,0.02497,1.16739e-05,1.16739e-05,1.16739e-05
92,67.5382,1.40241,5.83358,0.01672,0,0,0,0,2.70114,6.18679,0.02595,1.07315e-05,1.07315e-05,1.07315e-05
93,68.1409,1.58269,5.74765,0.0309,0,0,0,0,2.70114,6.18679,0.02595,9.76562e-06,9.76562e-06,9.76562e-06
94,68.7405,1.41233,5.88096,0.0189,0,0,0,0,2.70114,6.18679,0.02595,8.77613e-06,8.77613e-06,8.77613e-06
95,69.3577,1.3835,5.77017,0.02737,0,0,0,0,2.70114,6.18679,0.02595,7.76308e-06,7.76308e-06,7.76308e-06
96,69.9915,1.22693,5.65106,0.02466,0,0,0,0,2.75062,6.1905,0.02667,6.72648e-06,6.72648e-06,6.72648e-06
97,70.5366,1.1408,5.81835,0.01666,0,0,0,0,2.75062,6.1905,0.02667,5.6663e-06,5.6663e-06,5.6663e-06
98,71.1352,1.12486,5.58629,0.0258,0,0,0,0,2.75062,6.1905,0.02667,4.58257e-06,4.58257e-06,4.58257e-06
99,71.7337,1.14931,5.85645,0.01649,0,0,0,0,2.75062,6.1905,0.02667,3.47528e-06,3.47528e-06,3.47528e-06
100,72.3903,1.4985,5.73346,0.02733,0,0,0,0,2.76868,6.19514,0.02825,2.34442e-06,2.34442e-06,2.34442e-06
